,Title,ID,Abstract,explanation,relevance,0,1,source
0,The Impact of Housing Systems on Stress Levels and Milk Yield in Dairy Cows,1,"This study evaluates the effects of free-stall versus tie-stall housing systems on stress indicators and milk production in Holstein dairy cows. Cortisol levels, behavioral activity, and milk yield were monitored over a 12-week period. Cows in free-stall systems exhibited lower cortisol concentrations and higher daily milk yields, suggesting that increased mobility and social interaction contribute to improved welfare and productivity.","The passage directly discusses cows, specifically Holstein dairy cows, and their housing systems, which are relevant to the topic of cows.",1,0.008829321,0.9911056,cows
1,Genetic Markers Associated with Heat Tolerance in Tropical Dairy Cattle Breeds,2,"Heat stress significantly impacts dairy cattle productivity in tropical climates. This genome-wide association study identifies candidate genes linked to thermotolerance in Brahman × Holstein crossbred cattle. SNP markers associated with sweating efficiency, respiration rate, and rectal temperature were identified. These findings may support selective breeding programs aimed at enhancing climate resilience in dairy herds.","The passage discusses heat stress and its impact on dairy cattle productivity in tropical climates, which is highly relevant to cows, as they are commonly raised in these environments.",1,0.049757853,0.949851,cows
2,Dietary Supplementation with Seaweed Extracts Reduces Methane Emissions in Beef Cattle,3,"Methane emissions from ruminants are a major contributor to agricultural greenhouse gas output. This controlled feeding trial investigated the effects of *Asparagopsis taxiformis* supplementation on enteric methane production in beef cattle. Results showed a 45% reduction in methane emissions without adverse effects on feed intake or weight gain, indicating potential for seaweed-based interventions in sustainable livestock management.","The passage is about methane emissions, which is a concern for cows.",0,0.33688444,0.6620506,cows
3,Social Hierarchy and Its Influence on Feeding Behavior in Confined Beef Cattle,4,"Dominance hierarchies among confined beef cattle may influence access to feed and overall growth performance. Using RFID tracking and continuous observation, this study examines aggressive interactions and feeding patterns in group-housed cattle. Dominant animals accessed feed more frequently during peak hours, while subordinate individuals exhibited compensatory feeding behavior outside peak times. Management strategies to reduce competition are discussed.",The passage does not directly relate to cows in general.,0,0.5567748,0.44181067,cows
4,The Role of Probiotics in Enhancing Immune Function and Gut Health in Calves,5,"Early-life gut health is critical for long-term immunity and growth in cattle. This randomized trial investigates the effects of probiotic supplementation (Lactobacillus and Bifidobacterium strains) on immune response and diarrhea incidence in pre-weaned calves. Supplemented calves showed reduced illness rates and elevated serum immunoglobulin levels, supporting the use of probiotics as a preventive health strategy.","The passage specifically mentions cows/cattle, making it relevant to the topic.",1,0.2527152,0.7465992,cows
5,Evaluating Lameness Detection Using Wearable Sensors in Dairy Herds,6,"Lameness is a leading cause of economic loss and animal welfare concern in dairy operations. This study tests the accuracy of inertial measurement units (IMUs) worn on cow legs for early lameness detection. Sensor data were compared against visual locomotion scoring. The system achieved 89% sensitivity in identifying gait abnormalities, offering a promising tool for automated health monitoring.","The passage contains specific details about cow lameness detection and the use of IMUs, making it relevant to cows.",1,0.31487185,0.6840358,cows
6,Comparative Analysis of Artificial Insemination Techniques in Smallholder Dairy Farms,7,"Reproductive efficiency is crucial for profitability in small-scale dairy farming. This field study compares pregnancy success rates between conventional AI and sex-sorted semen techniques across 200 farms in East Africa. While sex-sorted semen resulted in slightly lower conception rates, it enabled greater control over calf gender, aligning better with farmers' preferences for female replacements.","The passage mentions cows (specifically, the study involves 200 farms with dairy cows), so it's relevant to cows.",1,0.36675668,0.63268787,cows
7,Antimicrobial Resistance Patterns in Mastitis Pathogens from Organic vs. Conventional Dairy Farms,8,"Mastitis remains a major disease challenge in dairy production. This study compares antimicrobial resistance profiles of common mastitis-causing bacteria (e.g., *Staphylococcus aureus*, *Escherichia coli*) from organic and conventional dairy farms. Organic farms showed significantly lower resistance to commonly used antibiotics, highlighting the benefits of restricted antibiotic use in reducing resistance development.","The passage discusses mastitis, a disease affecting cows, and antibiotic resistance, which is a concern in dairy farming. The comparison between organic and conventional farms provides insight into the impact of farming practices on antibiotic resistance, making the passage relevant to cows.",1,0.06741016,0.9323718,cows
8,The Effects of Music Exposure on Calmness and Milking Efficiency in Dairy Cows,9,"Environmental enrichment strategies are increasingly explored to improve dairy cow welfare. This experimental study assesses the impact of classical music exposure during milking on heart rate variability and milk let-down time. Cows exposed to music exhibited reduced heart rates and faster milk ejection, suggesting a calming effect that could enhance both welfare and productivity.","The passage discusses a study on cows and its findings on how music affects their behavior and productivity, making it relevant to cows.",1,0.07106944,0.9287258,cows
9,Nutritional Optimization for Grass-Fed Beef Production in Temperate Climates,10,"Grass-fed beef systems rely heavily on pasture quality for optimal growth and meat characteristics. This study investigates the impact of rotational grazing intensity and legume inclusion in pastures on weight gain, meat tenderness, and fatty acid composition. Diets with increased clover content improved average daily gain and omega-3 fatty acid levels, supporting the integration of legumes in sustainable grass-fed systems.",Cows are not mentioned in the passage.,0,0.25515625,0.7442361,cows
